 = = = NEW SESSION (André Pacheco) = = =
23/02/2025 | 11:06:35 | 28.00 | 52.00
23/02/2025 | 11:06:40 | 28.00 | 52.00
23/02/2025 | 11:06:45 | 28.00 | 52.00
23/02/2025 | 11:06:50 | 28.00 | 51.00
23/02/2025 | 11:06:55 | 27.90 | 51.00
23/02/2025 | 11:07:00 | 27.90 | 50.00
23/02/2025 | 11:07:05 | 27.80 | 50.00
23/02/2025 | 11:07:11 | 27.80 | 50.00
23/02/2025 | 11:07:16 | 27.70 | 50.00
23/02/2025 | 11:07:21 | 27.70 | 50.00
23/02/2025 | 11:07:26 | 27.60 | 50.00
23/02/2025 | 11:07:31 | 27.60 | 50.00
23/02/2025 | 11:07:36 | 27.50 | 50.00
23/02/2025 | 11:07:41 | 27.50 | 50.00
23/02/2025 | 11:07:46 | 27.50 | 50.00
23/02/2025 | 11:07:51 | 27.40 | 50.00
23/02/2025 | 11:07:56 | 27.40 | 50.00
23/02/2025 | 11:08:01 | 27.40 | 50.00
23/02/2025 | 11:08:06 | 27.40 | 50.00
23/02/2025 | 11:08:11 | 27.30 | 50.00
23/02/2025 | 11:08:17 | 27.30 | 50.00
23/02/2025 | 11:08:22 | 27.30 | 50.00
23/02/2025 | 11:08:27 | 27.20 | 50.00
23/02/2025 | 11:08:32 | 27.20 | 50.00
23/02/2025 | 11:08:37 | 27.20 | 50.00
23/02/2025 | 11:08:42 | 27.10 | 50.00
23/02/2025 | 11:08:47 | 27.10 | 50.00
23/02/2025 | 11:08:52 | 27.10 | 50.00
23/02/2025 | 11:08:57 | 27.00 | 50.00
23/02/2025 | 11:09:02 | 27.00 | 50.00
23/02/2025 | 11:09:07 | 27.00 | 50.00
23/02/2025 | 11:09:12 | 27.00 | 50.00
23/02/2025 | 11:09:17 | 27.00 | 50.00
23/02/2025 | 11:09:23 | 26.90 | 50.00
23/02/2025 | 11:09:28 | 26.90 | 50.00
23/02/2025 | 11:09:33 | 26.90 | 50.00
23/02/2025 | 11:09:38 | 26.90 | 50.00
23/02/2025 | 11:09:43 | 26.90 | 50.00
23/02/2025 | 11:09:48 | 26.90 | 50.00
23/02/2025 | 11:09:53 | 26.90 | 50.00
23/02/2025 | 11:09:58 | 26.80 | 50.00
23/02/2025 | 11:10:03 | 26.80 | 50.00
23/02/2025 | 11:10:08 | 26.80 | 50.00
23/02/2025 | 11:10:13 | 26.80 | 50.00
23/02/2025 | 11:10:18 | 26.80 | 50.00
23/02/2025 | 11:10:23 | 26.80 | 50.00
23/02/2025 | 11:10:29 | 26.70 | 50.00
23/02/2025 | 11:10:34 | 26.70 | 50.00
23/02/2025 | 11:10:39 | 26.70 | 50.00
23/02/2025 | 11:10:44 | 26.70 | 50.00
23/02/2025 | 11:10:49 | 26.70 | 50.00
23/02/2025 | 11:10:54 | 26.70 | 50.00
23/02/2025 | 11:10:59 | 26.70 | 50.00
23/02/2025 | 11:11:04 | 26.70 | 50.00
23/02/2025 | 11:11:09 | 26.70 | 50.00
